Comentários,Document Title,Authors,Publication Year,Abstract,PDF Link,Author Keywords,IEEE Terms,Count,Document Identifier,,Dados Utilizados,Técnicas Empregadas,Tipo de Trabalho,Contribuição de Trabalho
O foco principal é a predição da evasão universitária fazendo um comparativo entreo modelos (dentre eles Regressão Logística),Predicting Student Dropout: A Machine Learning Approach,S. Deb; M. S. R. Sammy; A. N. Tusher; M. R. S. Sakib; M. F. Hasan; A. I. Aunik,2024,"Student dropout is a pervasive problem in the education system, with a significant number of students failing to complete their studies due to various reasons such as academic difficulties, financial issues, personal problems, and more. Dropout not only affects the student’s academic and career prospects but also has significant financial and social costs for educational institutions and society. Identifying at-risk students and providing targeted interventions to prevent dropout has been a longstanding goal of educational researchers and practitioners. In recent years, machine Learning algorithms have emerged as a promising method for predicting student attrition and pinpointing the primary elements that contribute to it. Predicting student attrition and pinpointing the primary elements that contribute to it. This research paper offers an extensive investigation of the application of machine-learning algorithms-in-predicting student attrition. The study is based on dataset of student’s academic and demographic information collected from a major university in the Bangladesh. The dataset comprises information on over 400 students who enrolled in the university between 2015 and 2020, including their academic records, demographic characteristics, and enrollment history. Analyze datasets utilizing a variety of machine learning approaches such as support vector machines, random forests, logistic regression etc. Evaluate the performance of these algorithms using metrics such as accuracy, precision, recall, and F1 score. Our study finds that machine learning algorithms can effectively predict student dropout with high accuracy, precision, and recall. The best-performing algorithm is Random Forest with a precision of 0.78, recall of 0.78, and $F 1$-score of 0.78. Logistic regression and KNN algorithms also perform reasonably well, with a precision of 0.75 and 0.76, respectively.",https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10726161,Dropout University Students;Machine Learning Algorithms;Education System,Support vector machines;Measurement;Logistic regression;Machine learning algorithms;Accuracy;Predictive models;Nearest neighbor methods;Prediction algorithms;History;Random forests,3,IEEE Conferences,,"Ensino Médio, Socioeconômicos","Logistic Regression, Decision Tree, Random Forest, Support Vector Machine, KNN, Naive Bayes",Avaliação,Processo
1,Predicting Student Retention in Higher Education Using Data Mining Techniques: A Literature Review,W. M. Attiya; M. B. Shams,2023,"Many students drop out of higher education (HE) within the first year of enrollment, directly impacting academic achievement, student satisfaction, and the overall quality of the educational experience. Thus, improving student retention has become a top research priority in many HE institutions. This study aims to clarify the knowledge gap between the most effective data mining technique and the most influential factors that affect student retention. Several methods have been used to predict student retention, such as data analytics and machine learning (ML) techniques. The study reviewed and evaluated 10 current publications to increase student retention in HE. Moreover, the study examines the factors influencing student retention and the ML methods used. Additionally, the study discussed algorithms proven to work well and the challenges associated with using them. The study shows that the decision tree (DT), random forest (RF), logistic regression (LR), neural network (NN), AdaBoost, XGBoost, and long short-term memory (LSTM) algorithms performed the best out of the investigated algorithms when predicting student retention, with performance rates over 78.1%. The study concludes by discussing the limitations of this study and highlighting suggestions for future research directions that can be applied to increase student retention in HE.",https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10051056,Student retention;Higher Education;Drop out;Data mining techniques;Machine learning,Radio frequency;Schedules;Education;Predictive models;Prediction algorithms;Behavioral sciences;Timing,3,IEEE Conferences,,,"Decision Tree, Random Forest, Logistic Regression, Neural Network, XGBoost",Avaliação,Modelo
"Aborda a previsão de evasão, mas específico para alunos de pedagogia. Utiliza o algortimo de Regressão Logística",Predicting Student-Teachers Dropout Risk and Early Identification: A Four-Step Logistic Regression Approach,H. P. Singh; H. N. Alhulail,2022,"Student-teachers’ dropout is a complicated and serious issue in the learning process, with its attendant negative implications on students, academic institutions, economic resources, and society. This study investigated the composite and relative impact of personal (student), academic and socioeconomic predictive variables on student-teacher dropout. The study improves the early identification of at-risk student-teachers by developing a model that optimizes predictability. We used questionnaires and adopted a four-step logistic regression procedure on a sample of 1723 student-teachers in public teachers training colleges (TTCs) of a least-developed country (LDC). The study confirmed twin academic performance and aspirations factors as the highest predictors of student-teacher attrition. Academic reasons for choosing TTC were significant, as vocational motivation and goals established by student-teachers early in their education help prevent dropout. Contrary to expectations, student-teachers’ cultural values, parents’ level of education, and cost of financing education had no significant impact on dropout decisions. This is most likely due to the Government’s financial support for student-teachers in LDCs and the widespread belief that higher education can improve one’s social and economic status. The findings indicate that early identification and dropout prevention efforts should integrate various support services to foster a healthy learning and retention environment.",https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9676659,Dropout risk;early identification;least-developed economy;logistic regression model;prediction;student-teachers;teacher training colleges,Education;Predictive models;Logistics;Training;Developing countries;Costs;Analytical models,30,IEEE Journals,,"Ensino Superior, Socioeconômicos",Logistic Regression,Avaliação,Modelo
O foco principal é a predição da evasão universitária fazendo um comparativo entre os modelos (dentre eles Regressão Logística),Predicting Students' Academic Success using Machine Learning Algorithms,T. Nema; S. Palwe,2023,"This research attempts to predict the academic success of a student using Machine Learning algorithms and a thorough strategy that takes into account a variety of variables that affect students' results. The study examines a large dataset that contains information on the socioeconomic situation, involvement, and academic success of the students. To create predictive models that is able to find out the student who is at an academic risk of quitting and offer timely interventions to enhance their academic performance and prevent dropout, machine learning methods like Classifier based on Random Forest, Classifier Based on Decision Trees, Classifier using Logistic Regression, Voting based Classifier, and others will be used. To enhance students' achievement and raise the standard of education, policy decisions and resource allocation can be made using the knowledge gathered from the analysis.",https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10392079,Machine Learning;Academic Success;Random Forest;Voting Classifier,Logistic regression;Machine learning algorithms;Recurrent neural networks;Education;Time series analysis;Predictive models;Resource management,1,IEEE Conferences,,"Ensino Superior, Socioeconômicos","Decision Tree, Logistic Regression, Random Forest",Proposta de Solução,Modelo
2,Predicting Students’ Drop-Out Rate Using Machine Learning Models: A Comparative Study,M. Sharma; M. Yadav,2022,"One of the major challenges facing Private Higher Educational Institutes in India is to reduce drop-out rate of first year students. The problem has got exacerbated post-covid specially for Engineering and management discipline. This research is an empirical study on efficiency and accuracy of various Machine Learning (ML) Prediction algorithms to predict the drop-out rate of students based on dataset available on predictors such as Family size, Study time, Time spent on extra- curricular activities, Time spent on Internet, Health, Absenteeism etc. A comparison of the performance of the ML models based on ‘Accuracy’ and ‘F1 score’ (to cater for variations in costs of false positives and false negatives) has been made to identify the best algorithm for given problem. This would help HEIs to identify potential drop-out students beforehand and take course correction measures thus improving retention. The study is conducted for B.Tech First year students with a sample size of 395 students using Logistic regression and K-NN algorithms. This preliminary work could be extended using other ML models such as; Support Vector Machine (SVM), Naïve Bayes, Decision Tree etc. or a combination of in an ensemble fashion in future.",https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9917841,Academic Performance;Machine Learning;Logistic Regression;KNN;Classifier;gridsearchCV;Confusion Matrix;Prediction,Support vector machines;Machine learning algorithms;Computational modeling;Instruments;Machine learning;Predictive models;Prediction algorithms,4,IEEE Conferences,,"Ensino Superior, Socioeconômicos","Logistic Regression, KNN",Avaliação,Modelo
2,Predicting the probability of student's degree completion by using different data mining techniques,R. Ahuja; Y. Kankane,2017,"In this paper, we are predicting the graduation degree completion probability of students at JIIT University, on the basis of his/her previous academic results with subsequent intermediate college results along with various non-academic factors. For this purpose, various educational data mining techniques have been used such as Naive Bayes, Decision Tree, KNN and Logistic Regression. The implementation of these algorithms is done in R language. The comparison of their accuracy is done to find the most accurate predictions. Graphs are also used for illustrative comparison, along with numerical values such as Accuracy and Precision.",https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8313763,accuracy;balanced accuracy;dropout;Educational data mining;prediction,Prediction algorithms;Classification algorithms;Data mining;Decision trees;Training;Partitioning algorithms;Logistics,5,IEEE Conferences,,"Ensino Médio, Ensino Superior, Socioeconômicos","Naive Bayes, Decision Tree, Random Forest, Logistic Regression, KNN",Avaliação,Modelo
O foco principal é a predição da evasão universitária fazendo um comparativo entre os modelos (dentre eles Regressão Logística e Redes Neurais artificiais),Prediction of Student’s Dropout from a University Program,N. Shynarbek; A. Orynbassar; Y. Sapazhanov; S. Kadyrov,2021,"We consider the prediction of possible student dropouts from an undergraduate Computer Science program in a higher educational institution. To this end, we collect our own data from the students who started their degree in years 2016 and 2017. After preprocessing and cleaning we are left with 366 participants. To predict graduations and dropouts from the program, four different binary classifiers, namely, Naive Bayes, Support Vector Machine, Logistic Regression, and Artificial Neural Network models were considered. The average performances of the four are reported to be 96%, 89%, 88%, and 95%, respectively. The studies of the similar kind are very useful in terms of advising the Computer Science majoring students how their performances to the date determine their graduation probabilities.",https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9663763,Binary classification;Logistic Regression;Naive Bayes;SVM;ANN;Program dropouts,Support vector machines;Computer science;Computational modeling;Artificial neural networks;Predictive models;Cleaning;Logistics,11,IEEE Conferences,,Ensino Superior,"Naive Bayes, Support Vector Machine, Logistic Regression, ANN",Avaliação,Modelo
2,Predictive Analysis on University Dropout Rate of Bangladesh in Covid-19,M. Hossain; S. B. M. Shamim Azad; M. L. Hossen; S. I. Khan; A. K. M. Masum,2022,"The hard times of COVID 19 have shown mankind some harsh reality. Numerous sectors including education have been terribly victimized by the grasp of the pandemic. Schools, colleges, and universities were closed down for enumerable days and the students were detached from their studies. The dropout rate from university for the students owing to financial and circumstantial facts has been a vital concern. In our research, we conduct an effective study on the dropout rate of university students. We try to find out the inherent reasons for their dropout and try to come up with an effective solution. By an online survey, we have collected data from 422 Bangladeshi undergraduate students. After training and testing the dataset with several popular algorithms such as SVM, Logistic regression, Random Forest, Decision Tree, etc., the best methods for predicting dropout among Bangladeshi undergraduates were discovered.",https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9775898,Online Education;Machine Learning;COVID-19;Dropout Prediction,COVID-19;Training;Support vector machines;Technological innovation;Pandemics;Prediction algorithms;Predictive analytics,2,IEEE Conferences,,"Ensino Médio, Ensino Superior, Socioeconômicos","Support Vector Machine, Logistic Regression, Random Forest, Decision Tree, KNN, Naive Bayes",Avaliação,Modelo
O foco principal é a predição da evasão universitária fazendo um comparativo entre os modelos (dentre eles Regressão Logística e Redes Neurais),Predictive Modeling of Student Behavior for Early Dropout Detection in Universities using Machine Learning Techniques,A. Prasanth; H. Alqahtani,2023,"In universities, student dropout is a significant concern as it adversely affects both the students and the educational institutions. Identifying students who are at risk of dropping out early allows for timely interventions and support systems to be implemented, thereby enhancing student retention rates. This study focuses on applying machine learning techniques to analyze student behavior and predict early dropout in university settings. The objective of this research is to develop a machine learning-based predictive model that utilizes student behavioral data to identify potential indicators of early dropout. Various aspects of student behavior, including academic performance, engagement, course participation, and campus involvement, are considered as input features for the predictive model. By analyzing these behavioral patterns, the model aims to accurately predict which students are at higher risk of dropping out in the early stages of their university journey. A comprehensive dataset is collected, encompassing demographic information, academic records, extracurricular activities, and other relevant variables. To extract useful features from the dataset, feature engineering approaches are employed, which are then used as inputs for the machine learning algorithms. Various algorithms, such as support vector machines, feed forward neural networks, random forest, logistic regression, gradient boosting, KNN and ensemble methods are implemented and evaluated to determine the most effective approach for early dropout prediction. The findings of this study have substantial implications for higher education since they provide new understanding of the relationships between student academic behavior and the risk of dropping out. The suggested predictive model provides institutions with a useful tool to proactively identify students who may be at danger of early dropout, enabling the implementation of tailored interventions and support programs aimed at improving student retention and overall academic accomplishment.",https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10346531,Student behavior analysis;early dropout prediction;machine learning;higher education;student retention;university settings,Support vector machines;Machine learning algorithms;Education;Stacking;Predictive models;Feature extraction;Behavioral sciences,9,IEEE Conferences,,"Ensino Superior, Socioeconômicos","Logistic Regression, KNN",Avaliação,Modelo
O foco principal é a predição da evasão universitária fazendo um comparativo entre os modelos (dentre eles Regressão Logística e Redes Neurais),Smart Retention: AI-Driven Approaches for Predicting Student Dropouts in Higher Education in Bangladesh,C. M. Mehedi; F. Akther; M. A. Rahman; T. R. Siam; A. -M. B. Alvi; S. D. Gupta,2025,"Student dropout refers to students leaving their academic pursuits prematurely, which negatively impacts educational outcomes and resource utilization. In Bangladesh, this challenge is particularly vital due to the rapid expansion of access to higher education, leading to high dropout rates that hinder individual progress and the overall quality of education. To address this issue, we apply machine learning and deep learning techniques to predict and mitigate student dropouts in Bangladeshi higher education institutions. These models analyze diverse student data, including demographics, educational, and socioeconomic factors. We generated a data set through an online survey, collecting 3119 instances, which was then preprocessed using techniques such as handling null values, removing duplicate values, label encoding, and over sampling. The dataset was split into 2414 training samples and 603 test samples. Various algorithms were utilized for this task, including Decision Tree, XGBoost, Logistic Regression, K-Nearest Neighbors (KNN), Bernoulli Naive Bayes, LightGBM, Artificial Neural Networks (ANNs), and Bidirectional Long Short-Term Memory (BiLSTM). The models achieved impressive results, after training and evaluation, with Random Forest achieving an accuracy of 97.35% and a deep learning model, CNN, achieving 95.2% accuracy. These results show the potential of ML and DL in predicting student dropout and offer insights to further enhance student retention.",https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=11013481,Demographics;Socioeconomic factors;Student dropout;Machine Learning;Deep Learning,Deep learning;Training;Surveys;Accuracy;Predictive models;Nearest neighbor methods;Data models;Resource management;Socioeconomics;Random forests,,IEEE Conferences,,"Ensino Superior, Socioeconômicos","Random Forest, Decision Tree, XGBoost, Logistic Regression, LightGBM, KNN, Naive Bayes",Avaliação,Modelo
2,The Role of Machine Learning in Identifying Students At-Risk and Minimizing Failure,R. Z. Pek; S. T. Özyer; T. Elhage; T. ÖZYER; R. Alhajj,2023,"Education is very important for students’ future success. The performance of students can be supported by the extra assignments and projects given by the instructors for students with low performance. However, a major problem is that students at-risk cannot be identified early. This situation is being investigated by various researchers using Machine Learning techniques. Machine learning is used in a variety of areas and has also begun to be used to identify students at-risk early and to provide support by instructors. This research paper discusses the performance results found using Machine learning algorithms to identify at-risk students and minimize student failure. The main purpose of this project is to create a hybrid model using the ensemble stacking method and to predict at-risk students using this model. We used machine learning algorithms such as Naïve Bayes, Random Forest, Decision Tree, K-Nearest Neighbors, Support Vector Machine, AdaBoost Classifier and Logistic Regression in this project. The performance of each machine learning algorithm presented in the project was measured with various metrics. Thus, the hybrid model by combining algorithms that give the best prediction results is presented in this study. The data set containing the demographic and academic information of the students was used to train and test the model. In addition, a web application developed for the effective use of the hybrid model and for obtaining prediction results is presented in the report. In the proposed method, it has been realized that stratified k-fold cross validation and hyperparameter optimization techniques increased the performance of the models. The hybrid ensemble model was tested with a combination of two different datasets to understand the importance of the data features. In first combination, the accuracy of the hybrid model was obtained as 94.8% by using both demographic and academic data. In the second combination, when only academic data was used, the accuracy of the hybrid model increased to 98.4%. This study focuses on predicting the performance of at-risk students early. Thus, teachers will be able to provide extra assistance to students with low performance.",https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10002336,At-risk students;classification;dropout prediction;hybrid model;machine learning techniques;stacking ensemble model;student performance prediction,Predictive models;Data models;Machine learning;Stacking;Machine learning algorithms;Prediction algorithms;Data mining,21,IEEE Journals,,"Ensino Médio, Socioeconômicos","Naive Bayes, Decision Tree, Random Forest, KNN, Support Vector Machine, Logistic Regression",Proposta de Solução,Modelo
O foco principal é a predição da evasão universitária fazendo um comparativo entre os modelos (dentre eles Regressão Logística e Redes Neurais),Unlocking Student Success: Applying Machine Learning for Predicting Student Dropout in Higher Education,M. Pérez; D. Navarrete; M. Baldeon-Calisto; Y. Guerrero; A. Sarmiento,2025,"Student dropout remains a significant challenge for Higher Education Institutions (HEIs), affecting academic planning and student success. This study applies traditional machine learning and deep learning models to predict student dropout in an Ecuadorian HEI using the Cross-Industry Standard Process for Data Mining (CRISP-DM) methodology. A comprehensive analysis of demographic, academic, and economic factors was conducted to develop an effective predictive framework. The evaluated models include Logistic Regression, Support Vector Machine, Random Forest, XGBoost, Feedforward Neural Network, and TabNet. Various configurations were tested, including the application of Principal Component Analysis (PCA) for dimensionality reduction, and the Synthetic Minority Over-sampling Technique (SMOTE) to address class imbalance. Experimental results reveal that PCA and SMOTE are unnecessary. Among the models, Random Forest achieved the highest performance with a 96.62% accuracy, a ROC-AUC of 0.92, and an F1-score of 0.94. Feature importance analysis identified cumulative GP A and the number of semesters completed as the most influential factors for student dropout, followed by failed courses, high school grades, and entrance exam scores. This study emphasizes the importance of model interpretability, allowing HEIs to translate predictive insights into actionable strategies. By informing student retention policies and optimizing recruitment processes, this research contributes to data-driven decision-making in higher education.",https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=11012013,Dropout Prediction in Higher Education;Higher Education Institutions;Machine Learning;Deep Learning;NeuralNetworks;TabNet,Deep learning;Support vector machines;Accuracy;Biological system modeling;Education;Decision making;Predictive models;Data models;Random forests;Principal component analysis,,IEEE Conferences,,"Ensino Médio, Ensino Superior, Socioeconômicos","Logistic Regression, Support Vector Machine, Random Forest, XGBoost, Neural Network",Avaliação,Modelo
